iter	Passed	Remaining
402	11928	32469
403	12027	32630
404	12118	32763
405	12206	32891
406	12293	33014
407	12376	33125
408	12471	33267
409	12518	33281
410	12607	33406
411	12700	33538
412	12795	33678
413	12889	33810
414	12982	33942
415	13078	34080
416	13172	34211
417	13264	34334
418	13351	34445
419	13442	34566
420	13529	34674
421	13623	34801
422	13719	34930
423	13808	35041
424	13901	35161
425	13991	35273
426	14082	35387
427	14168	35486
428	14258	35597
429	14351	35710
430	14400	35716
431	14486	35814
432	14532	35811
433	14624	35922
434	14709	36014
435	14797	36110
436	14893	36229
437	14935	36214
438	15027	36318
439	15118	36422
440	15205	36513
441	15301	36625
442	15391	36723
443	15479	36816
444	15568	36909
445	15659	37007
446	15751	37105
447	15842	37201
448	15927	37283
449	16020	37380
450	16114	37480
451	16204	37570
452	16297	37667
453	16385	37751
454	16472	37833
455	16557	37908
456	16642	37982
457	16731	38066
458	16822	38152
459	16911	38235
460	17007	38332
461	17096	38412
462	17189	38500
463	17377	38800
464	17513	38981
465	17596	39045
466	17687	39123
467	17772	39190
468	17854	39249
469	17945	39326
470	18033	39397
471	18121	39467
472	18213	39544
473	18303	39619
474	18393	39690
475	18483	39761
476	18576	39841
477	18663	39903
478	18752	39972
479	18842	40040
480	18935	40115
481	19023	40177
482	19113	40244
483	19201	40306
484	19288	40366
485	19384	40443
486	19470	40500
487	19555	40553
488	19644	40615
489	19738	40684
490	19835	40761
491	19929	40831
492	20019	40891
493	20104	40941
494	20189	40990
495	20276	41043
496	20359	41088
497	20444	41135
498	20531	41186
499	20623	41246
500	20711	41299
501	20804	41359
502	20900	41426
503	21003	41506
504	21101	41575
505	21191	41629
506	21276	41670
507	21360	41710
508	21442	41748
509	21531	41795
510	21617	41839
511	21708	41891
512	21797	41937
513	21888	41988
514	21989	42057
515	22081	42109
516	22170	42154
517	22262	42204
518	22351	42247
519	22436	42284
520	22525	42327
521	22613	42367
522	22702	42410
523	22795	42458
524	22883	42498
525	22970	42534
526	23064	42583
527	23153	42622
528	23241	42660
529	23333	42705
530	23420	42738
531	23512	42781
532	23603	42823
533	23692	42860
534	23782	42898
535	23870	42930
536	23953	42954
537	24045	42995
538	24137	43035
539	24226	43069
540	24311	43095
541	24399	43126
542	24486	43156
543	24571	43180
544	24657	43206
545	24742	43231
546	24828	43257
547	24913	43279
548	24994	43296
549	25079	43318
550	25159	43332
551	25247	43359
552	25331	43379
553	25421	43409
554	25445	43326
555	25531	43347
556	25617	43369
557	25711	43405
558	25799	43429
559	25880	43442
560	25961	43454
561	26046	43472
562	26132	43492
563	26221	43516
564	26309	43539
565	26391	43550
566	26483	43578
567	26570	43598
568	26662	43625
569	26753	43650
570	26773	43559
571	26860	43578
572	26950	43600
573	27046	43631
574	27126	43638
575	27217	43661
576	27314	43694
577	27410	43723
578	27499	43742
579	27588	43760
580	27672	43771
581	27751	43772
582	27832	43777
583	27909	43775
584	27988	43777
585	28074	43789
586	28148	43780
587	28222	43772
588	28306	43780
589	28388	43785
590	28462	43777
591	28547	43785
592	28635	43797
593	28726	43814
594	28804	43812
595	28880	43804
596	28970	43819
597	29055	43826
598	29142	43835
599	29226	43840
600	29307	43839
601	29397	43852
602	29488	43866
603	29580	43881
604	29663	43881
605	29757	43900
606	29839	43899
607	29931	43912
608	30019	43920
609	30105	43924
610	30195	43933
611	30283	43940
612	30367	43940
613	30448	43937
614	30531	43935
615	30626	43950
616	30707	43945
617	30792	43947
618	30881	43952
619	30964	43949
620	31051	43952
621	31140	43956
622	31228	43959
623	31315	43962
624	31403	43964
625	31498	43977
626	31582	43973
627	31661	43963
628	31739	43950
629	31829	43955
630	31921	43961
631	32012	43966
632	32102	43969
633	32189	43968
634	32267	43954
635	32354	43953
636	32449	43962
637	32553	43982
638	32647	43989
639	32745	44002
640	32840	44009
641	32933	44013
642	33021	44011
643	33105	44003
644	33198	44007
645	33286	44004
646	33379	44006
647	33472	44009
648	33559	44004
649	33647	44000
650	33730	43989
651	33822	43990
652	33913	43989
653	34005	43989
654	34098	43989
655	34188	43986
656	34281	43986
657	34369	43980
658	34466	43985
659	34554	43978
660	34642	43971
661	34732	43966
662	34822	43961
663	34915	43960
664	35000	43948
665	35083	43933
666	35168	43921
667	35257	43913
668	35341	43899
669	35428	43888
670	35518	43881
671	35597	43860
672	35686	43852
673	35781	43850
674	35868	43839
675	35957	43829
676	36045	43819
677	36139	43815
678	36228	43804
679	36315	43792
680	36407	43785
681	36487	43763
682	36611	43794
683	36732	43820
684	36966	43982
685	37065	43981
686	37159	43975
687	37253	43967
688	37343	43956
689	37437	43948
690	37528	43936
691	37621	43927
692	37721	43926
693	37859	43969
694	37986	43998
695	38086	43996
696	38196	44006
697	38306	44013
698	38406	44011
699	38508	44010
700	38533	43920
701	38630	43913
702	38728	43907
703	38836	43912
704	38938	43909
705	39031	43896
706	39128	43887
707	39234	43889
708	39336	43886
709	39436	43879
710	39528	43865
711	39624	43853
712	39707	43828
713	39801	43814
714	39893	43799
715	39986	43784
716	40077	43766
717	40101	43676
718	40195	43661
719	40298	43656
720	40394	43643
721	40490	43630
722	40592	43624
723	40684	43606
724	40776	43588
725	40867	43569
726	40958	43550
727	41049	43530
728	41143	43513
729	41166	43422
730	41259	43404
731	41306	43337
732	41391	43311
733	41481	43289
734	41522	43217
735	41558	43139
736	41590	43057
737	41620	42974
738	41650	42890
739	41677	42804
740	41706	42720
741	41741	42641
742	41774	42561
743	41806	42481
744	41835	42397
745	41864	42313
746	41893	42229
747	41921	42145
748	41954	42066
749	41988	41988
750	42019	41908
751	42037	41814
752	42071	41735
753	42102	41655
754	42131	41573
755	42163	41493
756	42192	41412
757	42218	41326
758	42243	41241
759	42269	41157
760	42294	41071
761	42319	40986
762	42344	40901
763	42374	40821
764	42399	40736
765	42426	40653
766	42451	40569
767	42477	40486
768	42502	40401
769	42527	40318
770	42552	40234
771	42578	40151
772	42605	40070
773	42631	39987
774	42657	39905
775	42684	39824
776	42713	39745
777	42739	39663
778	42764	39580
779	42789	39497
780	42817	39418
781	42843	39337
782	42870	39257
783	42896	39175
784	42921	39093
785	42947	39013
786	42974	38933
787	43008	38860
788	43033	38779
789	43059	38698
790	43085	38618
791	43109	38537
792	43134	38456
793	43160	38377
794	43189	38299
795	43214	38220
796	43242	38142
797	43268	38063
798	43293	37983
799	43321	37906
800	43347	37827
801	43374	37749
802	43400	37671
803	43427	37593
804	43452	37514
805	43478	37437
806	43503	37357
807	43529	37280
808	43554	37201
809	43581	37125
810	43608	37048
811	43634	36971
812	43662	36895
813	43689	36819
814	43717	36744
815	43744	36668
816	43773	36593
817	43799	36517
818	43825	36440
819	43850	36363
820	43875	36287
821	43903	36212
822	43931	36137
823	43957	36062
824	43985	35988
825	44011	35912
826	44044	35842
827	44075	35771
828	44106	35700
829	44136	35627
830	44162	35553
831	44188	35477
832	44213	35402
833	44239	35327
834	44265	35253
835	44292	35179
836	44317	35104
837	44343	35030
838	44368	34955
839	44393	34880
840	44417	34805
841	44443	34731
842	44469	34658
843	44494	34583
844	44519	34509
845	44545	34435
846	44570	34361
847	44596	34288
848	44622	34215
849	44652	34145
850	44677	34072
851	44710	34005
852	44738	33933
853	44765	33862
854	44790	33789
855	44819	33719
856	44843	33645
857	44870	33574
858	44899	33504
859	44928	33434
860	44954	33363
861	44980	33291
862	45008	33221
863	45034	33150
864	45059	33078
865	45089	33009
866	45113	32937
867	45142	32868
868	45167	32797
869	45191	32724
870	45216	32653
871	45244	32584
872	45271	32514
873	45296	32443
874	45322	32373
875	45347	32302
876	45371	32231
877	45395	32159
878	45421	32089
879	45446	32019
880	45473	31949
881	45499	31880
882	45525	31811
883	45539	31733
884	45566	31664
885	45592	31595
886	45616	31525
887	45642	31456
888	45668	31387
889	45696	31319
890	45721	31250
891	45747	31181
892	45772	31112
893	45796	31043
894	45821	30974
895	45850	30908
896	45876	30839
897	45904	30773
898	45935	30708
899	45961	30641
900	45988	30574
901	46015	30506
902	46042	30439
903	46070	30373
904	46096	30306
905	46122	30239
906	46150	30173
907	46163	30098
908	46192	30032
909	46219	29966
910	46245	29899
911	46271	29832
912	46295	29765
913	46321	29698
914	46346	29631
915	46372	29565
916	46400	29499
917	46426	29433
918	46454	29368
919	46480	29303
920	46507	29237
921	46536	29173
922	46564	29109
923	46591	29044
924	46619	28979
925	46645	28914
926	46673	28849
927	46699	28784
928	46727	28720
929	46754	28656
930	46781	28591
931	46809	28527
932	46835	28462
933	46863	28399
934	46892	28335
935	46919	28272
936	46946	28208
937	46971	28142
938	46997	28078
939	47026	28015
940	47052	27951
941	47076	27886
942	47101	27821
943	47128	27757
944	47153	27693
945	47179	27629
946	47206	27566
947	47232	27502
948	47257	27438
949	47284	27375
950	47309	27311
951	47334	27247
952	47360	27183
953	47385	27119
954	47410	27056
955	47434	26992
956	47460	26928
957	47484	26865
958	47510	26801
959	47535	26738
960	47562	26676
961	47587	26613
962	47611	26549
963	47636	26486
964	47661	26424
965	47686	26361
966	47711	26297
967	47736	26235
968	47760	26172
969	47787	26110
970	47813	26048
971	47840	25987
972	47864	25924
973	47890	25862
974	47914	25800
975	47941	25738
976	47965	25676
977	47990	25614
978	48014	25552
979	48040	25490
980	48064	25428
981	48091	25367
982	48117	25306
983	48142	25245
984	48166	25183
985	48191	25122
986	48217	25061
987	48241	24999
988	48268	24939
989	48291	24877
990	48319	24817
991	48346	24757
992	48373	24698
993	48397	24636
994	48422	24576
995	48447	24515
996	48472	24455
997	48496	24394
998	48521	24333
999	48547	24273
1000	48572	24213
1001	48596	24152
1002	48621	24092
1003	48645	24032
1004	48671	23972
1005	48695	23912
1006	48720	23852
1007	48744	23791
1008	48772	23733
1009	48797	23673
1010	48825	23615
1011	48849	23556
1012	48874	23496
1013	48899	23436
1014	48924	23377
1015	48948	23318
1016	48975	23259
1017	49003	23201
1018	49026	23142
1019	49051	23082
1020	49074	23023
1021	49098	22964
1022	49123	22904
1023	49147	22846
1024	49173	22787
1025	49199	22729
1026	49223	22670
1027	49234	22605
1028	49257	22546
1029	49282	22488
1030	49309	22430
1031	49333	22372
1032	49358	22313
1033	49382	22255
1034	49406	22197
1035	49431	22139
1036	49457	22081
1037	49482	22023
1038	49507	21966
1039	49535	21909
1040	49560	21852
1041	49584	21794
1042	49610	21737
1043	49635	21679
1044	49659	21622
1045	49683	21564
1046	49708	21507
1047	49732	21449
1048	49757	21392
1049	49783	21335
1050	49808	21278
1051	49833	21221
1052	49857	21164
1053	49881	21107
1054	49906	21050
1055	49932	20994
1056	49955	20937
1057	49980	20880
1058	50004	20823
1059	50029	20767
1060	50054	20710
1061	50078	20653
1062	50101	20596
1063	50126	20540
1064	50152	20484
1065	50176	20428
1066	50200	20372
1067	50225	20315
1068	50251	20260
1069	50276	20204
1070	50299	20148
1071	50324	20092
1072	50348	20036
1073	50351	19971
1074	50378	19916
1075	50402	19861
1076	50428	19806
1077	50454	19751
1078	50479	19695
1079	50482	19631
1080	50507	19576
1081	50530	19521
1082	50557	19466
1083	50582	19411
1084	50607	19356
1085	50631	19301
1086	50659	19247
1087	50685	19193
1088	50710	19138
1089	50735	19084
1090	50763	19030
1091	50788	18975
1092	50813	18921
1093	50837	18866
1094	50840	18804
1095	50867	18750
1096	50891	18695
1097	50915	18641
1098	50941	18587
1099	50967	18533
1100	50991	18479
1101	51015	18424
1102	51040	18370
1103	51064	18316
1104	51088	18262
1105	51112	18208
1106	51136	18154
1107	51161	18100
1108	51188	18047
1109	51214	17994
1110	51241	17941
1111	51265	17887
1112	51290	17834
1113	51314	17780
1114	51339	17726
1115	51362	17672
1116	51387	17619
1117	51411	17566
1118	51435	17512
1119	51460	17459
1120	51484	17406
1121	51509	17353
1122	51534	17300
1123	51559	17247
1124	51584	17194
1125	51609	17142
1126	51633	17088
1127	51657	17035
1128	51684	16984
1129	51709	16931
1130	51733	16878
1131	51735	16818
1132	51759	16766
1133	51783	16713
1134	51810	16661
1135	51834	16609
1136	51858	16556
1137	51883	16504
1138	51909	16452
1139	51933	16399
1140	51957	16347
1141	51983	16296
1142	52008	16244
1143	52033	16192
1144	52058	16140
1145	52084	16089
1146	52109	16037
1147	52137	15986
1148	52167	15936
1149	52194	15885
1150	52218	15833
1151	52244	15782
